Order,Player name,Recipient,event_id,min,sec,outcome,period_id,team_id,Angle,Degrees,Y travel,X travel,Distance,Goalmouth Y,Goalmouth Z,X-end,x,Y-end,y
172,"Petrov, Martin",Incomplete pass,74,8,29,Incomplete,1st,30,5.5,315.1267873,-90,58.5,87.1,,,91.8,33.3,0,90
174,"Kolarov, Aleksandar","Barry, Gareth",102,8,39,Complete,1st,43,5.7,326.5859432,-11.2,11.8,14.8,,,21.1,9.3,88.8,100
176,"Barry, Gareth","Kolarov, Aleksandar",103,8,42,Complete,1st,43,2.7,154.6986047,4.7,-7.3,8.3,,,8.6,15.9,97.2,92.5
178,"Kolarov, Aleksandar",Incomplete pass,104,8,43,Incomplete,1st,43,5.9,338.0450991,-28.2,40.1,46.3,,,48.9,8.8,69,97.2
180,"Cahill, Gary",Incomplete pass,76,8,47,Incomplete,1st,30,0.3,17.18873385,7.5,18.9,20.5,,,75.5,56.6,41.9,34.4
182,"Eagles, Chris",Incomplete pass,78,8,54,Incomplete,1st,30,1.8,103.1324031,13.4,-1.6,9.3,,,77.3,78.9,25.7,12.3
184,"Barry, Gareth","Aguero, Sergio",108,8,56,Complete,1st,43,5.1,292.2084755,-21.5,5.4,15.7,,,36.7,31.3,50.6,72.1
186,"Aguero, Sergio",N,109,8,59,Complete,1st,43,5,286.4788976,-23.8,4.5,16.9,,,48.8,44.3,9.4,33.2
188,"Silva, David","Toure, Gnegneri Yaya",111,9,5,Complete,1st,43,2.2,126.0507149,8.7,-4.4,7.5,,,53.9,58.3,41.4,32.7
190,"Toure, Gnegneri Yaya","Aguero, Sergio",112,9,6,Complete,1st,43,5.4,309.3972094,-25.3,12.2,21.4,,,66.5,54.3,16.1,41.4
192,"Aguero, Sergio","Silva, David",113,9,8,Complete,1st,43,1.6,91.67324722,11.4,-0.1,7.8,,,68.3,68.4,30.7,19.3
194,"Silva, David",Incomplete pass,114,9,9,Incomplete,1st,43,5.8,332.3155212,-10,11.1,13.5,,,79.8,68.7,20.7,30.7
196,"Robinson, Paul","Reo-Coker, Nigel",82,9,14,Complete,1st,30,5.7,326.5859432,-9.4,9.1,11.5,,,30.2,21.1,65.4,74.8
198,"Reo-Coker, Nigel","Eagles, Chris",83,9,16,Complete,1st,30,4.9,280.7493196,-44.4,4.6,30.6,,,35.4,30.8,14.3,58.7
